ALLAN SCHINTU;ALLAN SCHINTU;Allan Schintu;Angelino Schintu ;その他;175cm;72kg;;
あらい しずか;あらい しずか;Arai Shizuka;荒井静香;8月17日;東京都;しし座;;
荒井 聡太;あらい そうた;Arai Souta;1986年4月12日;28歳;東京都;おひつじ座;;
新井 良平;あらい りょうへい;Arai Ryohei;9月1日;埼玉県;A型;おとめ座;;
荒川 太朗;あらかわ たろう;Arakawa Tarou;佐藤康夫;荒川保男&rarr;;;	;
荒川 美奈子;あらかわ みなこ;Arakawa Minako;1959年11月5日;54歳;大阪府;O型;さそり座;
荒川 美穂;あらかわ みほ;Arakawa Miho;12月4日;いて座;;特技;;
荒木 香衣;あらき かえ;Araki Kae;原佳恵、荒木香恵;1966年11月6日;47歳;大阪府;150cm;さそり座
荒 友美;あら ともみ;Ara Tomomi;1986年4月22日;28歳;福島県;161cm;O型;
荒浪 和沙;あらなみ かずさ;Aranami Kazusa;1988年4月18日;26歳;千葉県;160cm;A型;
有川 博;ありかわ ひろし;Arikawa Hiroshi;1940年11月2日;2011年10月16日;70歳;鹿児島県;さそり座;
有賀 由衣;ありが ゆい;Ariga Yui;12月1日;東京都;いて座;;;
有沢 俊浩;ありさわ としひろ;Arisawa Toshihiro;1968年2月6日;46歳;長野県;B型;みずがめ座;
有島 明日香;ありしま あすか;Arishima Asuka;1982年3月2日;32歳;茨城県;160cm;O型;
有島 モユ;ありしま もゆ;Arishima Moyu;有島もゆ;有島もゆ;1977年4月22日;37歳;福島県;おうし座
有馬 瑞香;ありま みずか;Arima Mizuka;1948年1月16日;66歳;鹿児島県;やぎ座;;
有馬 ゆみこ;ありま ゆみこ;Arima Yumiko;関ゆみ子;11月3日;その他;さそり座;;
有本 欽隆;ありもと きんりゅう;Arimoto Kinryu;1940年2月11日;74歳;鳥取県;B型;みずがめ座;
有賀 由樹子;あるが ゆきこ;Aruga Yukiko;12月31日;愛知県;やぎ座;;;
粟津 貴嗣;あわづ たかつぐ;Awazu takatsugu;小泉一郎太;4月18日;兵庫県;O型;おひつじ座;趣味
安斉 一博;あんざい かずひろ;Anzai Kazuhiro;1981年1月4日;33歳;東京都;やぎ座;;
安済 知佳;あんざい ちか;Anzai Chika;1990年12月22日;23歳;福井県;O型;やぎ座;
安西 英美;あんざい ひでみ;Anzai Hidemi;1月6日;神奈川県;やぎ座;;特技;
安西 正弘;あんざい まさひろ;Anzai Masahiro;1954年11月26日;59歳;東京都;いて座;;
安齋 龍太;あんざい りゅうた;Anzai Ryuta;安斎龍太;8月17日;東京都;しし座;;
安藤 ありさ;あんどう ありさ;Ando Arisa;1961年3月5日;53歳;東京都;162cm;A型;
安藤 麻吹;あんどう まぶき;Ando Mabuki;1969年3月30日;45歳;静岡県;158cm;おひつじ座;趣味
あんべ あつし;あんべ あつし;Anbe Atsushi;安倍敦;11月25日;東京都;いて座;;
伊井 篤史;いい あつし;Ii Atsushi;田中義男;1939年1月1日;75歳;東京都;やぎ座;
飯島 杏子;いいじま きょうこ;Iizima Kyouko;飯島京子;1964年1月17日;50歳;東京都;155cm;やぎ座
飯島 肇;いいじま はじめ;Iijima Hajime;1973年4月29日;41歳;神奈川県;おうし座;;
飯島 真理;いいじま まり;Iijima Mari;1963年5月18日;51歳;茨城県;O型;おうし座;タグ
飯泉 征貴;いいずみ まさき;Iizumi Masaki;1976年9月6日;38歳;埼玉県;171cm;O型;
飯田 真矢;いいだ しんや;Iida Shinya;1982年6月5日;32歳;千葉県;ふたご座;;
飯田 利信;いいだ としのぶ;Iida Toshinobu;1977年10月24日;37歳;埼玉県;A型;さそり座;
飯田 奈保美;いいだ なおみ;Iida Naomi;12月23日;奈良県;やぎ座;;;
飯田 浩志;いいだ ひろし;Iida Hiroshi;1976年11月6日;37歳;栃木県;168cm;B型;
飯田 友子;いいだ ゆうこゆ;Iida Yuuko;1992年9月9日;22歳;神奈川県;おとめ座;;
飯田 和平;いいだ わへい;Iida Wahei;1936年3月26日;2012年3月8日;75歳;東京都;おひつじ座;
飯塚 昭三;いいづか しょうぞう;Iizuka Shozo;1933年5月23日;81歳;福島県;165cm;O型;
飯塚 麻結;いいづか まゆ;Iizuka Mayu;1996年4月15日;18歳;埼玉県;O型;おひつじ座;
飯塚 雅弓;いいづか まゆみ;Iizuka Mayumi;1977年1月3日;37歳;東京都;152cm;AB型;
飯野 茉優;いいの  まゆ;Ino Mayu;1999年5月23日;15歳;埼玉県;ふたご座;;
飯野 ユウ;いいの ユウ;Iino Yuu;10月3日;東京都;A型;てんびん座;;
井浦 愛;いうら あい;Iura Ai;1977年11月23日;36歳;東京都;153cm;A型;
家富 ヨウジ;いえとみ ヨウジ;Ietomi Youzi;1968年2月21日;46歳;群馬県;O型;うお座;
家村 幸成;いえむら ゆきしげ;Iemura Yukiushige;1972年7月19日;42歳;東京都;かに座;;
伊賀 絵里香;いが えりか;Iga Erika;1976年3月23日;38歳;高知県;おひつじ座;;
五十嵐 愛子;いがらし あいこ;Igarashi Aiko;3月21日;広島県;O型;おひつじ座;;
五十嵐 浩子;いがらし ひろこ;Hiroko Igarashi;らしこ;1982年2月27日;32歳;東京都;B型;
五十嵐 裕美;いがらし ひろみ;Igarashi Hiromi;1986年12月13日;27歳;北海道;O型;いて座;
五十嵐 誠;いがらし まこと;Igarashi Makoto;1975年1月3日;39歳;山形県;165cm;B型;
五十嵐 由佳;いがらし ゆか;Igarashi Yuka;7月15日;千葉県;148cm;かに座;;
五十嵐 亮太;いがらし りょうた;Igarashi Ryota;11月22日;岩手県;いて座;;;
五十嵐 麗;いがらし れい;Igarashi Rei;大濱貴子;1963年1月9日;51歳;東京都;163cm;やぎ座
壹岐 紹未;いき つぐみ;Iki Tsugumi;8月2日;埼玉県;しし座;;特技;
生田 善子;いくた よしこ;Ikuta Yoshiko;1988年11月26日;25歳;岡山県;いて座;;
伊倉 一恵;いくら かずえ;Ikura Kazue;伊倉一寿;1959年3月23日;55歳;長野県;155cm;おひつじ座
井口 祐一;いぐち ゆういち;Iguchi Yuuichi;ゆっちょ;2月22日;東京都;A型;うお座;
井口 裕香;いぐち ゆか;Iguchi Yuka;ゆかち;1988年7月11日;26歳;東京都;157cm;かに座
池崎 美穂;いけざき みほ;Ikezaki Miho;池崎リョウ、池崎美子;1月28日;宮崎県;B型;みずがめ座;
池澤 春菜;いけざわ はるな;Ikezawa Haruna;1975年12月15日;38歳;その他;160cm;O型;
池田 果奈子;いけだ かなこ;Ikeda Kanako;2月25日;神奈川県;A型;うお座;;
池田 桂子;いけだ けいこ;Ikeda Keiko;東京都;;詳細;;;
池田 秀一;いけだ しゅういち;Ikeda Shuichi;1949年12月2日;64歳;東京都;162cm;O型;
池田 千草;いけだ ちぐさ;Ikeda Chigusa;1976年6月5日;38歳;東京都;ふたご座;;
池田 知聡;いけだ ともあき;Ikeda Tomoaki;1976年6月12日;38歳;宮崎県;168cm;ふたご座;特技
池田 ひかる;いけだ ひかる;Ikeda Hikaru;6月20日;福岡県;164cm;A型;ふたご座;趣味
池田 昌子;いけだ まさこ;Ikeda Masako;1939年1月1日;75歳;東京都;153cm;A型;
池田 政典;いけだ まさのり;Ikeda Masanori;1966年12月1日;47歳;京都府;177cm;AB型;
池田 勝;いけだ まさる;Ikeda Masaru;1942年9月27日;72歳;東京都;てんびん座;;
池田 祐輔;いけだ ゆうすけ;Ikeda Yuusuke;1月17日;兵庫県;やぎ座;;;
池辺 久美子;いけべ くみこ;Ikebe Kumiko;1984年10月23日;30歳;兵庫県;O型;てんびん座;特技
池水 通洋;いけみず みちひろ;Ikemizu Michihiro;1943年4月11日;71歳;神奈川県;O型;おひつじ座;
